,Area,Years,Revenue,Subscribers,Open,High,Low,Close,Adj Close,Volume
55,Latin America,Q4 - 2021,964150000,39961000,605.609985,609.98999,351.459991,427.140015,427.140015,241662000
56,Latin America,Q1 - 2022,998948000,39610000,376.799988,396.019989,185.600006,190.360001,190.360001,403325400
57,Latin America,Q2 - 2022,1030234000,39624000,176.490005,230.75,169.699997,224.899994,224.899994,270083700
58,Latin America,Q3 - 2022,1023945000,39936000,237.850006,305.630005,211.729996,291.880005,291.880005,335263800
59,Latin America,Q4 - 2022,1016846000,41699000,298.059998,369.019989,288.700012,353.859985,353.859985,206417400
60,Asia-Pacific,Q1 - 2018,199117000,7394000,291.940002,338.820007,271.220001,312.459991,312.459991,262006000
61,Asia-Pacific,Q2 - 2018,221252000,8372000,385.450012,419.769989,328.0,337.450012,337.450012,305393800
62,Asia-Pacific,Q3 - 2018,248691000,9461000,375.850006,386.799988,271.209991,301.779999,301.779999,363589800
63,Asia-Pacific,Q4 - 2018,276756000,10607000,259.279999,358.850006,256.579987,339.5,339.5,306616400
64,Asia-Pacific,Q1 - 2019,319602000,12141000,359.0,384.799988,342.269989,370.540009,370.540009,165079400
65,Asia-Pacific,Q2 - 2019,349494000,12942000,373.5,384.76001,305.809998,322.98999,322.98999,196652500
66,Asia-Pacific,Q3 - 2019,382304000,14485000,267.350006,308.75,257.01001,287.410004,287.410004,231556400
67,Asia-Pacific,Q4 - 2019,418121000,16233000,326.100006,359.850006,321.200012,345.089996,345.089996,169874000
68,Asia-Pacific,Q1 - 2020,483660000,19835000,376.049988,449.519989,357.51001,419.850006,419.850006,225111600
69,Asia-Pacific,Q2 - 2020,569140000,22492000,454.0,575.369995,454.0,488.880005,488.880005,232206300
70,Asia-Pacific,Q3 - 2020,634891000,23504000,506.029999,572.48999,472.209991,475.73999,475.73999,154302400
71,Asia-Pacific,Q4 - 2020,684609000,25492000,539.0,593.289978,485.670013,532.390015,532.390015,139988600
72,Asia-Pacific,Q1 - 2021,762414000,26853000,529.929993,563.559998,499.0,513.469971,513.469971,111573300
73,Asia-Pacific,Q2 - 2021,799480000,27875000,525.719971,557.539978,504.660004,517.570007,517.570007,77221200
74,Asia-Pacific,Q3 - 2021,834002000,30051000,604.23999,690.969971,594.679993,690.309998,690.309998,98576300
75,Asia-Pacific,Q4 - 2021,870705000,32632000,605.609985,609.98999,351.459991,427.140015,427.140015,241662000
76,Asia-Pacific,Q1 - 2022,916754000,33719000,376.799988,396.019989,185.600006,190.360001,190.360001,403325400
77,Asia-Pacific,Q2 - 2022,907719000,34799000,176.490005,230.75,169.699997,224.899994,224.899994,270083700
78,Asia-Pacific,Q3 - 2022,889037000,36228000,237.850006,305.630005,211.729996,291.880005,291.880005,335263800
79,Asia-Pacific,Q4 - 2022,856711000,38023000,298.059998,369.019989,288.700012,353.859985,353.859985,206417400
