Movie Title,IMDB_Score,IMDB_Votes
Phantom Thread,7.4,128600.0
Lady Bird,7.4,277165.0
The Ritual,6.3,92788.0
Darkest Hour,7.4,193208.0
The Nightingale,7.3,28196.0
How It Ends,5.0,51513.0
The Disaster Artist,7.3,149604.0
Ghostland,6.4,30444.0
Perfect Bid: The Contestant Who Knew Too Much,6.6,2176.0
The Ballad of Buster Scruggs,7.3,141528.0
Okja,7.3,116305.0
The Bad Batch,5.2,30785.0
Shot Caller,7.3,83961.0
The Shack,6.2,35406.0
Roma,7.7,153508.0
Crooked House,6.3,23327.0
The Beguiled,6.8,21.0
What Happened to Monday,6.8,120311.0
The Foreigner,7.0,112487.0
Apostle,6.3,51038.0
Icarus,7.9,48672.0
The Package,5.5,17226.0
Mary Magdalene,5.9,10234.0
Gerald's Game,6.5,104894.0
Level 16,6.0,11118.0
The Invisible Guest,8.0,170351.0
The Cloverfield Paradox,5.5,102759.0
I Don't Feel at Home in This World Anymore,6.9,55549.0
Abducted in Plain Sight,6.8,18165.0
Annabelle: Creation,6.5,129883.0
The Witch: Part 1. The Subversion,7.1,9862.0
Kodachrome,6.8,16482.0
Calibre,6.8,27622.0
I Am Not Your Negro,7.9,21632.0
Bird Box,6.6,325194.0
The Zookeeper's Wife,7.0,42808.0
Outlaw King,6.9,69834.0
Veronica,6.2,40254.0
Beirut,6.4,21843.0
The Night Comes for Us,6.9,25500.0
Destination Wedding,6.0,28933.0
Cam,5.9,31042.0
The Meyerowitz Stories (New and Selected),6.9,47971.0
Malevolent,4.8,13290.0
The Babysitter,6.4,86953.0
When We First Met,6.4,48215.0
Extinction,5.8,51781.0
To All the Boys I've Loved Before,7.1,101175.0
Cargo,6.3,42722.0
Everybody Knows,6.9,34009.0
The Guernsey Literary & Potato Peel Pie Society,7.3,44917.0
1922,6.2,60982.0
Home Again,5.8,31620.0
Mudbound,7.4,47676.0
The Book of Henry,6.5,27052.0
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",7.7,25593.0
Berlin Syndrome,6.2,24733.0
Anon,6.1,42608.0
Replicas,5.5,37340.0
Private Life,7.2,19023.0
Beyond Skyline,5.3,21540.0
A Futile and Stupid Gesture,6.7,15750.0
Mirai,7.0,14983.0
The Strangers: Prey at Night,5.2,30499.0
King of Thieves,5.5,14081.0
Hold the Dark,5.6,36500.0
Black Mirror: Bandersnatch,7.1,123377.0
RBG,7.6,14037.0
Bāhubali 2: The Conclusion,8.2,91560.0
The Perfection,6.1,41508.0
The Discovery,6.2,33579.0
The Kindergarten Teacher,6.7,15683.0
Wheelman,6.4,19951.0
Mirage,7.4,52657.0
Set It Up,6.5,49880.0
An Evening with Beverly Luff Linn,5.8,5457.0
The Delivery Boy,6.2,74.0
Little Italy,5.7,14492.0
The Outsider,6.2,25223.0
Skins,6.1,5686.0
Hannah Gadsby: Nanette,8.1,12035.0
Banana Split,6.2,3190.0
Creep 2,6.4,24468.0
Dumplin',6.5,33206.0
Shirkers,7.4,5020.0
The After Party,5.7,4348.0
Red Joan,6.4,12124.0
Mute,5.4,34788.0
Hell Fest,5.5,16610.0
Small Town Crime,6.6,11167.0
Adrift,6.6,54750.0
Happy as Lazzaro,7.5,17716.0
A Bad Moms Christmas,5.6,49478.0
A-X-L,5.3,11785.0
The Other Side of the Wind,6.7,7104.0
Ravenous,5.8,9154.0
22 July,6.8,33246.0
Victoria & Abdul,6.8,35458.0
May the Devil Take You,5.9,4209.0
Buster's Mal Heart,6.2,10490.0
Death Note,4.5,83519.0
Bright,6.3,183841.0
The Incredible Jessica James,6.5,7496.0
The Kissing Booth,5.9,81639.0
Handsome Devil,7.0,13708.0
Sand Castle,6.3,22854.0
Errementari: The Blacksmith and the Devil,6.4,11561.0
Holy Camp!,6.2,3986.0
"Game Over, Man!",5.4,29773.0
Forgotten,7.4,29804.0
Piercing,5.5,7534.0
On Body and Soul,7.5,27003.0
Mowgli: Legend of the Jungle,6.5,60870.0
No Escape Room,5.0,4277.0
Goon: Last of the Enforcers,5.8,13476.0
Ricky Gervais: Humanity,7.9,18523.0
Trolls Holiday,6.2,2725.0
To the Bone,6.8,47025.0
The Bar,6.3,25934.0
Siberia,4.3,15038.0
Woodshock,4.2,1933.0
War Machine,6.0,45972.0
Illang: The Wolf Brigade,5.9,5073.0
Security,5.7,18618.0
Newness,6.3,16459.0
The Breaker Upperers,5.9,6008.0
Joan Didion: The Center Will Not Hold,7.4,2596.0
Clive Davis: The Soundtrack of Our Lives,7.5,950.0
We the Animals,6.9,4181.0
Welcome Home,5.2,7387.0
Midnight Sun,6.6,29565.0
Unicorn Store,5.5,19140.0
Tau,5.8,30611.0
Brain on Fire,6.6,21164.0
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,7.9,1285.0
Bathtubs Over Broadway,7.6,1065.0
What the Health,7.4,28911.0
Duck Butter,5.3,3909.0
The Long Dumb Road,6.1,3172.0
Bill Nye: Science Guy,6.5,1208.0
Mr. Roosevelt,6.2,3320.0
John Mulaney: Kid Gorgeous at Radio City,7.9,7696.0
Win It All,6.2,9108.0
Andhadhun,8.2,88359.0
In Darkness,5.7,13098.0
Shimmer Lake,6.3,14098.0
The Debt Collector,5.8,7344.0
Orbiter 9,5.9,7586.0
Day of the Dead: Bloodline,3.4,11841.0
Lovesong,6.3,4908.0
Reversing Roe,7.5,1281.0
First They Killed My Father,7.2,17871.0
The Titan,4.8,30698.0
Girlfriend's Day,5.2,4197.0
Animal Crackers,5.8,3352.0
Dude,5.2,6873.0
My Happy Family,7.4,3826.0
Unrest,7.6,2904.0
iBoy,6.0,22594.0
Ibiza,5.2,17194.0
The Resurrection of Gavin Stone,6.2,2233.0
Strong Island,6.4,3849.0
Bad Genius,7.6,20430.0
Godzilla: The Planet Eater,5.0,4158.0
Blame!,6.6,7968.0
Bullet Head,5.4,9954.0
The Photographer of Mauthausen,6.7,10466.0
The Most Hated Woman in America,6.1,6540.0
River's Edge,6.2,942.0
Godzilla: Planet of the Monsters,6.0,8451.0
Girl,7.1,14046.0
Acts of Vengeance,5.7,11971.0
Bleach,6.4,11406.0
Our Souls at Night,6.9,13360.0
Psychokinesis,5.9,5519.0
"Oh, Hello on Broadway",7.7,3106.0
Birth of the Dragon,5.6,8112.0
Little Evil,5.7,21009.0
Gaga: Five Foot Two,7.0,12825.0
Fullmetal Alchemist,5.2,19493.0
The Angel,6.6,14013.0
Benji,6.3,4544.0
White Fang,6.9,3634.0
The Resistance Banker,6.9,9273.0
The Land of Steady Habits,6.2,7566.0
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,7.1,2556.0
Clinical,5.1,7904.0
The Battleship Island,7.1,7005.0
Lu Over the Wall,6.8,2189.0
Hampstead,6.0,6254.0
Reprisal,4.2,7248.0
Like Father,6.1,21202.0
MILF,4.8,6047.0
The Open House,3.2,33769.0
Catfight,5.9,6251.0
"My Teacher, My Obsession",4.4,2289.0
Take Me,6.1,5566.0
MFKZ,6.7,4263.0
Steel Rain,7.1,5434.0
Sad Hill Unearthed,7.4,1593.0
Zero,5.2,27208.0
The Christmas Chronicles,7.0,71182.0
Nothing to Hide,6.8,14876.0
Patrick,6.2,150.0
The Ottoman Lieutenant,6.4,25582.0
Casting JonBenet,6.1,5384.0
The World Is Yours,6.3,4246.0
Long Shot,7.4,7734.0
Outside In,6.7,4611.0
Next Gen,6.6,16964.0
The Saint,4.9,6555.0
Voyeur,6.2,5922.0
Get Me Roger Stone,7.4,7333.0
Hey Arnold! The Jungle Movie,7.5,3139.0
Irreplaceable You,6.4,9442.0
Amar,5.1,4397.0
Tig Notaro: Happy To Be Here,6.6,1327.0
Carrie Pilby,6.7,11311.0
Fun Mom Dinner,5.3,5509.0
I Am Jonas,7.0,5598.0
Springsteen On Broadway,8.5,2178.0
Te Ata,7.4,736.0
Cuba and the Cameraman,8.3,4715.0
Indian Horse,7.3,2105.0
I Am Not an Easy Man,6.3,14146.0
The Forgiven,5.9,2427.0
You Get Me,4.7,12740.0
The Climb,6.9,7383.0
Sarah Silverman: A Speck of Dust,6.9,3711.0
Hasan Minhaj: Homecoming King,8.2,7120.0
Modest Heroes,6.6,2646.0
Mercury 13,6.9,1160.0
The Fortress,6.8,2435.0
Godzilla: City on the Edge of Battle,5.8,4824.0
Quincy,7.6,4488.0
Struggle: The Life and Lost Art of Szukalski,7.9,4082.0
The Outcasts,5.4,4426.0
The Invisible Guardian,6.4,15541.0
Bending the Arc,8.0,314.0
"Take the Ball, Pass the Ball",8.0,3064.0
Adam Sandler: 100% Fresh,7.5,5096.0
An Imperfect Murder,3.1,1594.0
Mike Birbiglia: Thank God for Jokes,7.4,2465.0
Sky Ladder: The Art of Cai Guo-Qiang,7.3,1436.0
Gnome Alone,5.6,3410.0
Neal Brennan: 3 Mics,7.8,3228.0
Sandy Wexler,5.2,16603.0
WHAT DID JACK DO?,,
The Week Of,5.2,21481.0
Naked,5.4,19366.0
The Bleeding Edge,7.6,2671.0
Taylor Swift: Reputation Stadium Tour,8.3,5293.0
Toc Toc,6.8,18484.0
John Leguizamo's Latin History for Morons,7.4,738.0
And Breathe Normally,6.9,3020.0
The Awakening of Motti Wolkenbruch,6.6,4255.0
Charming,5.6,3467.0
Giant,6.7,4153.0
Solo,5.0,2747.0
The Killer,6.0,2642.0
Flavors of Youth,6.6,7206.0
The Polka King,5.9,10428.0
The Legacy of a Whitetail Deer Hunter,5.5,3909.0
Come Sunday,6.0,2287.0
The Death and Life of Marsha P. Johnson,7.2,2881.0
Monster High: Electrified,5.5,300.0
Mersal,8.1,32573.0
Fred Armisen: Standup for Drummers,5.8,1276.0
Perdida,5.6,4684.0
Sarkar,7.0,18453.0
Camarón: The Film,7.5,303.0
S.W.A.T.: Under Siege,4.5,3524.0
High Society,5.5,984.0
Generation Iron 3,6.2,3333.0
Whose Streets?,5.5,1337.0
One of Us,7.0,6482.0
The Rachel Divide,6.3,2512.0
My Masterpiece,7.1,5934.0
Brian Regan: Nunchucks and Flamethrowers,6.3,679.0
Alex Strangelove,6.3,17305.0
Lowriders,5.6,2519.0
End Game,,
Chris Rock: Tamborine,6.6,6816.0
Your Son,6.1,4708.0
Justice,4.0,1208.0
NY Prison Break: The Seduction of Joyce Mitchell,5.6,322.0
Tom Segura: Disgraceful,7.5,3695.0
It's for Your Own Good,5.5,2284.0
Sierra Burgess Is a Loser,5.8,38319.0
Battle,5.9,4139.0
The Seven Deadly Sins: Prisoners of the Sky,7.1,4649.0
Christmas Inheritance,5.7,11693.0
Jo Koy: Live from Seattle,7.1,1322.0
Puss in Book: Trapped in an Epic Tale,,
Okko's Inn,7.0,1803.0
Christmas in the Heartland,5.9,1414.0
How to Be Really Bad,6.2,1076.0
A Christmas Prince,5.7,19456.0
The Stolen,5.3,1330.0
Father of the Year,5.2,11281.0
Killing Hasselhoff,4.4,2655.0
Pottersville,5.4,4674.0
Thi Mai,6.0,2504.0
Paradise Lost,6.9,674.0
Derren Brown: Sacrifice,7.1,1786.0
Yucatán,5.5,2065.0
A Twelve-Year Night,7.5,9816.0
Happy Anniversary,5.7,4219.0
Maria Bamford: Old Baby,6.1,945.0
Rock my Heart,6.5,984.0
Us and Them,7.4,4026.0
Manhunt,5.2,3210.0
The B-Side: Elsa Dorfman's Portrait Photography,6.7,743.0
A Very Country Christmas,6.0,1622.0
Greg Davies: You Magnificent Beast,7.1,2328.0
When Angels Sleep,5.5,3619.0
Bert Kreischer: Secret Time,7.3,2307.0
Show Dogs,3.9,4653.0
Escape from Mr. Lemoncello's Library,5.4,440.0
Bhavesh Joshi Superhero,7.7,8587.0
Amateur,5.9,4303.0
Fireworks,5.6,3147.0
Pachamama,6.8,848.0
Lust Stories,6.4,10725.0
All I Wish,5.2,1564.0
"Ram Dass, Going Home",,
The Clapper,5.1,7425.0
Chasing Coral,8.1,5143.0
Disconnect,5.3,117.0
Take Your Pills,6.3,5048.0
Raees,6.7,43835.0
Bad Seeds,7.3,5407.0
A Miraculous Christmas Special: Tales of Ladybug and Cat Noir,,
Animal World,6.5,4367.0
Seeking a Man,6.3,602.0
Toilet: A Love Story,7.2,20675.0
6 Balloons,5.9,4087.0
#realityhigh,5.2,6283.0
Seth Rogen's Hilarity for Charity,5.0,2360.0
Stree,7.6,32814.0
Wedding Unplanned,5.7,1610.0
Close Enemies,6.4,2607.0
The Mitfords: A Tale of Two Sisters,,
The Tree of Blood,6.4,2934.0
They'll Love Me When I'm Dead,7.4,4953.0
Nappily Ever After,6.4,9139.0
Bomb Scared,5.7,2846.0
Handsome: A Netflix Mystery Movie,5.2,4465.0
Lommbock,6.7,3647.0
Maktub,7.3,2831.0
Black Is Beltza,5.8,292.0
The Legend of Cocaine Island,6.3,3287.0
Mom,7.2,10320.0
Half Girlfriend,4.6,7090.0
The Motive,6.5,5713.0
Lady J,6.8,3306.0
Right Here Right Now,5.4,311.0
Shéhérazade,7.0,2195.0
Shepherds and Butchers,6.8,3460.0
The Most Unknown,6.6,2067.0
A Fortunate Man,7.2,6093.0
LEGO Marvel Super Heroes: Guardians of the Galaxy - The Thanos Threat,5.9,444.0
Out of Thin Air,6.3,2271.0
"Ron White: If You Quit Listening, I'll Shut Up",6.5,827.0
Sir,7.7,6893.0
Secret Superstar,7.9,24046.0
Pope Francis: A Man of His Word,6.4,2240.0
Demetri Martin: The Overthinker,7.2,1697.0
Katt Williams: Great America,6.2,940.0
Sahara,5.5,2778.0
Budapest,5.4,2893.0
El Camino Christmas,5.7,8519.0
BuyBust,5.8,1874.0
Patton Oswalt: Annihilation,7.2,2367.0
Ali's Wedding,6.9,4959.0
Amy Schumer: The Leather Special,3.0,9753.0
Aapla Manus,7.0,922.0
Bibi & Tina: Perfect Pandemonium,4.0,457.0
Retablo,7.5,1711.0
The American Meme,6.8,17034.0
Holy Goalie,5.3,1603.0
Burn Out,6.2,3718.0
The Tribe,5.8,2627.0
Family Blood,4.2,2934.0
Barbie: Dolphin Magic,,
Break,5.8,1144.0
Derren Brown: The Push,7.5,3637.0
First Match,6.4,2242.0
Point Blank,5.7,14184.0
The Warning,5.9,6278.0
The Princess Switch,6.0,27650.0
Sanju,7.7,52227.0
LEGO Marvel Super Heroes: Black Panther - Trouble in Wakanda,5.6,551.0
My Perfect Romance,4.6,3012.0
The Drug King,6.2,3103.0
Nigerian Prince,5.8,383.0
Sun Dogs,6.2,2284.0
A Witches' Ball,5.2,376.0
Ittefaq,7.2,12095.0
The Chase,6.6,2957.0
Limitless,,
Eerie,4.6,2297.0
Going for Gold,4.8,537.0
Judwaa 2,3.6,10517.0
The Milk System,7.0,525.0
Ronnie Coleman: The King,7.0,3730.0
Nobody Speak: Trials of the Free Press,6.5,4092.0
Bareilly Ki Barfi,7.5,23011.0
Duck Duck Goose,5.7,3686.0
Revenger,5.7,4252.0
Little Boxes,5.9,1971.0
Jerry Before Seinfeld,7.0,5643.0
"Norm Macdonald: Hitler's Dog, Gossip & Trickery",7.4,2868.0
Mustang Island,6.2,522.0
The Laws of Thermodynamics,6.0,2726.0
Edge of Fear,4.5,3124.0
Nothing to Lose,2.3,23016.0
Uncertain Glory,6.2,943.0
Expedition Happiness,5.9,4483.0
Taramani,7.5,1605.0
Step Sisters,5.4,4460.0
Dovlatov,6.4,1974.0
Hot Sweet Sour,6.1,2450.0
SPF-18,3.2,5122.0
Samouni Road,6.7,160.0
My Birthday Song,5.6,282.0
ReMastered: Tricky Dick & The Man in Black,7.1,1463.0
Joe Rogan: Strange Times,7.3,4300.0
Alaska Is a Drag,6.5,386.0
Rangoon,5.7,4690.0
A Christmas Prince: The Royal Wedding,5.3,10658.0
Something Huge,4.4,479.0
Trevor Noah: Son of Patricia,7.3,3970.0
Raising the Bar,5.5,1545.0
Pup Star: Better 2Gether,4.4,234.0
Jab Harry Met Sejal,5.0,20501.0
Kuroko's Basketball the Movie: Last Game,7.7,2445.0
Tottaa Pataaka Item Maal,7.6,8051.0
Pihu,6.7,2411.0
Isoken,6.6,306.0
The Little Vampire 3D,5.4,1687.0
Armed to the Teeth,7.9,634.0
Spyder,6.3,10230.0
Saving Capitalism,6.8,3157.0
Carbone,6.5,2550.0
Ali Wong: Hard Knock Wife,7.3,4874.0
The Last Shaman,6.6,1865.0
Feminists: What Were They Thinking?,6.9,2196.0
Dany Boon: Des Hauts-De-France,6.2,91.0
Quién te cantará,6.9,2854.0
Barbra: The Music ... The Mem'ries ... The Magic!,7.5,448.0
Russell Brand: Re:Birth,6.5,1193.0
Katherine Ryan: In Trouble,7.0,2165.0
Heroin(e),,
The 3rd Eye,5.1,1373.0
Small Crimes,5.8,7948.0
Ee Nagaraniki Emaindi,7.9,2817.0
Gun City,6.3,3819.0
Craig Ferguson: Tickle Fight,6.6,995.0
El club de los buenos infieles,5.5,642.0
Deidra & Laney Rob a Train,6.0,1887.0
Jagga Jasoos,6.4,10092.0
Candy Jar,5.8,4950.0
Christmas Wedding Planner,4.3,5913.0
Parmanu: The Story of Pokhran,7.6,23771.0
F.R.E.D.I.,4.9,1010.0
"Roxanne, Roxanne",6.2,3173.0
Rip Tide,5.5,3421.0
Jeff Dunham: Relative Disaster,6.4,1274.0
The Insomnia Club,6.2,497.0
Rodney Carrington: Here Comes the Truth,4.5,164.0
ReMastered: Who Shot the Sheriff,6.9,1381.0
Angela's Christmas,,
What We Started,7.1,2126.0
Marc Maron: Too Real,7.2,1916.0
Christina P: Mother Inferior,6.4,941.0
Baazaar,6.5,5270.0
Getaway Plan,5.6,1850.0
Bill Burr: Walk Your Way Out,7.2,7123.0
Trevor Noah: Afraid of the Dark,7.2,5121.0
The Plagues of Breslau,5.9,4942.0
Period. End of Sentence.,,
Qarib Qarib Singlle,7.1,8203.0
Joy,6.6,1293.0
Zoo,5.7,96.0
Forgive Us Our Debts,6.2,1573.0
Derren Brown: Miracle,6.5,1031.0
Angamaly Diaries,8.0,5901.0
Perú: Tesoro Escondido,6.1,515.0
Dry Martina,5.8,965.0
Sara's Notebook,5.9,2699.0
HiGH&LOW The Movie 2: End of Sky,7.1,396.0
Sand Storm,6.8,3492.0
CIA: Comrade In America,6.4,3064.0
The Art of Loving: Story of Michalina Wislocka,7.1,3690.0
ReMastered: Who Killed Jam Master Jay?,6.5,768.0
Love Beats Rhymes,5.4,1057.0
Burning Sands,6.0,2828.0
Judd Apatow: The Return,6.2,1321.0
Up Among the Stars,6.2,496.0
Sabrina,4.2,1712.0
Jailbreak,5.4,1445.0
Secrets in the Hot Spring,6.0,749.0
III Smoking Barrels,6.6,123.0
Iliza Shlesinger: Elder Millennial,7.2,4033.0
Amelia: A Tale of Two Sisters,,
Manto,7.3,4222.0
The Skin of the Wolf,5.8,3019.0
Being Napoleon,5.5,124.0
El testigo,8.1,210.0
All Good,6.5,1416.0
Paradox,3.9,711.0
Monster Island,4.7,728.0
Invisible,6.0,763.0
Counterpunch,6.7,903.0
Weed the People,7.3,332.0
Dear Ex,7.3,6143.0
Rory Scovel Tries Stand-Up for the First Time,6.7,821.0
Cycle,8.2,479.0
How to Stage a Coup,6.1,172.0
Qismat,8.1,3037.0
Milada,6.3,1302.0
Romina,2.3,2282.0
The Most Assassinated Woman in the World,5.3,1076.0
Jackie: A Tale of Two Sisters,,
B. A. Pass 2,2.2,475.0
A 3 Minute Hug,,
Aggretsuko: We Wish You A Metal Christmas,,
Kalushi : The Story of Solomon Mahlangu,6.5,309.0
Franco Escamilla: Por La Anécdota,6.9,302.0
"Michael Bolton's Big, Sexy Valentine's Day Special",6.7,2102.0
A Champion Heart,5.9,395.0
The Russian Revolution,6.5,642.0
On My Skin,7.3,9159.0
Love per Square Foot,7.2,8187.0
The Mansion,4.6,2592.0
Lucid Dream,6.1,3575.0
In the Family,7.7,23297.0
Jefe,5.4,1073.0
The Gift,8.1,20.0
Dear Son,6.5,388.0
Mission Kathmandu: The Adventures of Nelly & Simon,5.1,434.0
Baadshaho,5.0,4783.0
Love.com,5.8,737.0
Ex-Shaman,7.1,245.0
Recovery Boys,6.7,714.0
Christmas with a Prince,5.2,1627.0
Buddy Thunderstruck: The Maybe Pile,,
Bayonet,5.7,549.0
Frat Star,3.6,659.0
A Sort of Family,6.3,694.0
Sudani from Nigeria,8.2,4159.0
Kuntilanak,4.6,651.0
The Last Hour,6.3,522.0
Njan Prakashan,7.6,4304.0
The Crossing,7.5,
The Holiday Calendar,5.7,9985.0
Cities of Last Things,6.2,1615.0
The Trader,,
Seeing Allred,7.2,1338.0
The Grown-Ups,7.6,251.0
Christmas with a View,5.1,4544.0
Paranormal Investigation,3.7,1652.0
Carlos Ballarta: furia ñera,7.2,212.0
C/o Kancharapalem,9.0,6562.0
Animas,,
Coin Heist,4.8,2638.0
Semesta,7.3,111.0
Rajma Chawal,5.7,1815.0
Sofía Niño de Rivera: Natural Selection,6.9,237.0
Unbridled,5.1,498.0
The Mars Generation,6.5,989.0
Deranged,3.5,11.0
El Diesel,4.5,437.0
Time Share,5.9,2762.0
The Wishing Tree,5.7,92.0
Overnight Republic,5.8,4632.0
Been So Long,5.4,1100.0
Gad Elmaleh: American Dream,7.2,1028.0
Maz Jobrani: Immigrant,6.7,840.0
Love Jacked,5.9,2142.0
Michael Lost and Found,,
Kartini: Princess of Java,7.6,511.0
Resurface,7.1,286.0
Laerte-se,7.0,688.0
Take the 10,4.7,3130.0
Ladies First,3.9,25.0
Dismissal,5.0,973.0
Sunday's Illness,6.9,3484.0
Target,3.9,496.0
Liberated: The New Sexual Revolution,6.0,1502.0
Naam Shabana,6.2,6712.0
Born Racer,6.1,256.0
The Girl Allergic to Wi-Fi,6.3,290.0
HiGH&LOW The Movie 3: Final Mission,7.7,636.0
Kevin James: Never Don't Give Up,6.1,1448.0
Sylvia,4.7,126.0
Suzzanna: Buried Alive,5.5,894.0
The Doll 2,5.2,534.0
How to Get Over a Breakup,6.1,1972.0
Cook Off,6.1,337.0
Weapon of Choice,4.8,162.0
All the Reasons to Forget,6.2,523.0
The Lost Brother,6.5,1690.0
D.L. Hughley: Contrarian,6.6,606.0
Hometown Holiday,5.0,994.0
Zion,,
Can't Help Falling in Love,7.2,889.0
Blanche Gardin: I Talk to Myself,7.9,133.0
Fishtronaut: The Movie,7.5,72.0
Gad Gone Wild,6.9,396.0
Awe!,7.8,4967.0
Pad Man,7.9,25269.0
Jack Whitehall: At Large,6.9,2094.0
Sparring,6.4,614.0
My Travel Buddy,6.1,6656.0
Tiffany Haddish: She Ready! From the Hood to Hollywood!,6.6,526.0
God Calling,,
Party Monster: Scratching the Surface,,
Catching Feelings,5.8,552.0
Jen Kirkman: Just Keep Livin'?,6.7,1281.0
Crossroads: One Two Jaga,6.6,634.0
Superlopez,5.4,3574.0
The Birth Reborn 2,6.6,5.0
The Last Runaway,5.9,719.0
Soorma,7.4,5103.0
Cristela Alonzo: Lower Classy,6.4,845.0
48 Christmas Wishes,3.9,1103.0
The Maus,4.7,6331.0
Bygones Be Bygones,6.2,3973.0
Russell Howard: Recalibrate,7.4,1587.0
The Girl From the Song,5.6,1750.0
Manu,8.0,1073.0
Goyo: The Boy General,6.7,799.0
Lucas Brothers: On Drugs,5.5,830.0
Coffee for All,5.6,385.0
Loudon Wainwright III: Surviving Twin,7.1,94.0
Ana e Vitória,6.4,604.0
King of Boys,6.1,404.0
Silence Is Welcome,4.6,101.0
Two Catalonias,6.4,677.0
No One Will Ever Know,6.2,135.0
Def Comedy Jam 25,6.6,1096.0
Genius,,
Lovefucked,,
Bon Cop Bad Cop 2,6.6,4126.0
Jim Jefferies: This Is Me Now,7.3,3984.0
Match,4.1,7.0
Mubarakan,5.6,3906.0
Paskal,6.8,2964.0
Stars in the Sky: A Hunting Story,7.3,333.0
Notes from Dunblane: Lessons from a School Shooting,,
Tattoo of Revenge,4.9,112.0
Pickpockets,5.4,1179.0
El Potro: lo mejor del amor,5.2,723.0
Neevevaro,6.9,809.0
"Out of Many, One",,
Judah Friedlander: America Is the Greatest Country in the United States,7.8,1436.0
Aurora,4.3,603.0
Gunshot,6.8,593.0
Smaller and Smaller Circles,6.6,234.0
Todd Barry: Spicy Honey,6.8,840.0
Joshua: Teenager vs. Superpower,7.2,1531.0
The Bros,6.1,616.0
5 Star Christmas,4.5,767.0
The Reservoir Game,6.0,35.0
Todo lo que sería Lucas Lauriente,6.9,108.0
DTC –Yukemuri Junjo Hen– from HiGH&LOW,6.8,55.0
Hari Kondabolu: Warn Your Relatives,6.5,837.0
Alexis de Anda: Mea Culpa,4.9,101.0
Freej Al Taibeen,5.8,9.0
Gurgaon,6.5,2191.0
Ani... Dr. Kashinath Ghanekar,8.5,1071.0
Jim Norton: Mouthful of Shame,7.0,1324.0
Fanatyk,,
Jonaki,6.8,251.0
Rafinha Bastos: Ultimatum,6.5,214.0
A StoryBots Christmas,5.7,156.0
Lionheart,5.7,1444.0
"To Each, Her Own",5.4,1726.0
Night of Knots,5.4,1282.0
Love You to the Stars and Back,7.6,531.0
Marlon Wayans: Woke-ish,6.5,1390.0
Ghost Hunting,7.1,219.0
Music Teacher,6.2,684.0
Poster Boys,5.5,1541.0
Munafik 2,6.3,1654.0
The Hows of Us,6.7,2695.0
Marco Luque - We are together,4.4,76.0
Felipe Neto: My Life Makes No Sense,4.4,245.0
Aditi Mittal: Things They Wouldn't Let Me Say,4.3,330.0
Blessed Benefit,6.6,665.0
Malena Pichot: Estupidez compleja,5.7,360.0
Chief Daddy,4.7,269.0
Adhugo,5.9,65.0
Solo el amor,4.7,68.0
Hedefim Sensin,6.2,4384.0
Deliha 2,4.7,2554.0
Spivak,5.6,732.0
For Here or to Go?,6.8,605.0
DreamWorks Home: For the Holidays,4.9,149.0
Late Life: The Chien-Ming Wang Story,7.2,465.0
Listen,6.6,227.0
Aiyaary,5.2,4671.0
Pulang,6.7,594.0
Alter Ego,5.7,55.0
Ayotzinapa: The Turtle's Pace,7.4,204.0
The Price of Success,5.8,362.0
"I, Potro",6.2,493.0
Turkish Dance School,5.7,2113.0
Vanjagar Ulagam,6.0,258.0
Verses of Love 2,5.9,603.0
Luciano Mellera: Infantiloide,7.5,1516.0
My Travel Buddy 2,5.8,3217.0
Alan Saldaña: mi vida de pobre,6.3,68.0
Vir Das: Abroad Understanding,6.9,1697.0
Hantu Kak Limah,5.6,677.0
Back to Q82,6.0,94.0
Garbage,3.4,1004.0
Teefa in Trouble,7.3,3569.0
Potato Potahto,4.1,208.0
Joe Mande's Award-Winning Comedy Special,6.1,498.0
The Royal Hibiscus Hotel,5.5,276.0
Puriyaatha Puthir,6.6,1032.0
Son Of Adam,,
Super Monsters and the Wish Star,,
Ryan Hamilton: Happy Face,7.3,921.0
Daniel Sosa: Sosafado,5.4,98.0
Fantastica,3.6,212.0
Food on the Go,6.3,211.0
Agustín Aristarán: Soy Rada,6.1,121.0
Grillo vs Grillo,5.2,129.0
Jim Gaffigan: Cinco,7.1,2381.0
Free Rein: The Twelve Neighs of Christmas,6.7,5633.0
My Ex & Whys,6.2,572.0
Pa Paandi,7.4,1725.0
Penalty Kick,3.7,280.0
Noblemen,5.6,274.0
Bonboné,,
Brad Paisley's Comedy Rodeo,5.7,151.0
"Love, Surreal and Odd",5.6,3216.0
Pacíficum,6.5,126.0
Mama's Boy,6.1,987.0
Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,,
Seven Sundays,7.7,456.0
Puppy Star Christmas,3.6,248.0
Mo Amer: The Vagabond,7.3,799.0
Marriage Palace,6.2,180.0
Pahuna: The Little Visitors,7.5,397.0
Shiva VS Autobots,,
Mahi NRI,5.9,83.0
Rodney King,5.8,601.0
Exes Baggage,6.4,267.0
Mauli,5.6,362.0
Tracy Morgan: Staying Alive,6.1,1202.0
Voulez-vous rire avec moi ce soir?,6.8,43.0
La Leyenda del Diamante,3.4,48.0
