Movie Title,IMDB_Score,IMDB_Votes
Empire State,5.2,21368.0
Shrek the Musical,6.9,3634.0
The Butler,7.2,114013.0
Scary Movie 5,3.5,70814.0
Cloudy with a Chance of Meatballs 2,6.3,100637.0
Penguins of Madagascar,6.6,88708.0
Redemption,,
Texas Chainsaw 3D,4.8,49312.0
Jackass Presents: Bad Grandpa .5,6.3,
Mr. Peabody & Sherman,6.8,68790.0
Vampire Academy,5.4,54190.0
"I, Frankenstein",5.1,80733.0
Seventh Son,5.5,76395.0
Sabotage,5.7,63007.0
The Railway Man,7.1,39743.0
Life of Crime,5.8,18793.0
Get on Up,6.9,24456.0
The November Man,6.3,67243.0
The Nut Job,5.7,28295.0
Brick Mansions,5.6,42137.0
The Big Wedding,5.6,49549.0
Bonnie & Clyde,,
The Battered Bastards of Baseball,8.0,3953.0
Who Am I,7.5,55044.0
Bo Burnham: What.,8.3,11488.0
The Smurfs 2,5.3,41571.0
Metallica: Through the Never,7.1,17433.0
Walk of Shame,6.0,54065.0
Search Party,5.6,7789.0
Stand by Me Doraemon,7.3,7812.0
Thanks for Sharing,6.4,28204.0
Copenhagen,7.1,13135.0
Cowspiracy: The Sustainability Secret,8.2,24845.0
The Haunting in Connecticut 2: Ghosts of Georgia,5.2,17170.0
Mike Birbiglia: My Girlfriend's Boyfriend,8.0,3284.0
Elena,7.6,1823.0
Berserk: The Golden Age Arc III - The Advent,7.8,9942.0
Bill Burr: I'm Sorry You Feel That Way,8.3,7954.0
A Haunted House 2,4.6,21514.0
We Steal Secrets: The Story of WikiLeaks,6.9,7873.0
Effie Gray,6.0,5482.0
Free Birds,5.8,23917.0
The Square,8.1,8949.0
The Short Game,7.3,1518.0
PK,8.2,178012.0
Underdogs,6.5,9535.0
Jinxed,6.4,1444.0
Swearnet: The Movie,6.1,2652.0
Company of Heroes,,
Tiger & Bunny: The Rising,6.8,265.0
Selfie,6.0,1671.0
Virunga,8.2,11403.0
Tom Segura: Completely Normal,7.7,2570.0
Buddies,6.6,1076.0
Chennai Express,6.1,53293.0
Monty Python: The Meaning of Live,7.6,574.0
LEGO DC Comics Super Heroes: Batman Be-Leaguered,6.5,1305.0
The Berlin File,6.6,7103.0
Omar,7.5,14230.0
Dabbe: The Possession,6.8,5635.0
Haider,8.1,54001.0
2 States,6.9,25344.0
Dragons: Dawn Of The Dragon Racers,,
A Fairly Odd Summer,4.0,533.0
Blind Detective,6.4,3255.0
The Boss: Anatomy of a Crime,7.3,2105.0
Khoobsurat,6.5,8330.0
Monty Python: Live (Mostly),7.6,2598.0
Miss Granny,7.2,3433.0
Highway,7.6,28370.0
Queen,8.2,64805.0
Expelled from Paradise,6.7,1696.0
LEGO Marvel Super Heroes: Maximum Overload,,
Jim Gaffigan: Obsessed,7.6,2226.0
Mission Blue,7.9,1950.0
From One Second to the Next,,
The Meaning of Monty Python,,
ABCD,6.3,6898.0
Pedal the World,5.0,1057.0
City of God: 10 Years Later,6.4,1299.0
Birth Reborn,7.8,249.0
Bombay Talkies,6.6,5372.0
Kai Po Che!,7.8,36512.0
My Beautiful Broken Brain,7.1,2257.0
Mitt,6.9,2579.0
Ragini MMS 2,3.9,2870.0
Fukrey,6.9,11656.0
Dedh Ishqiya,7.0,7179.0
Hasee Toh Phasee,6.8,14916.0
Pizza,6.2,1285.0
Ankhon Dekhi,8.0,11330.0
Sniper: Legacy,,
Boss,5.3,11059.0
Tea Time,7.6,480.0
When Love Happens,4.8,128.0
Mary Kom,6.9,10656.0
Four Sisters and a Wedding,7.2,789.0
Special 26,8.0,55489.0
Once Upon a Time in Mumbai Dobaara!,4.6,7127.0
Swearnet Live,5.4,519.0
Jim Jefferies: Bare,8.0,5407.0
Dabbe 5: Zehr-i Cin,6.0,3708.0
The Perfect Dictatorship,7.2,5370.0
Imperial Dreams,6.7,4452.0
Liar's Dice,6.8,1069.0
Silent,,
El Mago Pop,6.8,21.0
Humpty Sharma Ki Dulhania,6.0,12757.0
Print the Legend,7.0,1967.0
The Butterfly's Dream,7.8,21882.0
Jeff Dunham: All Over the Map,7.1,854.0
Bride for Rent,6.4,584.0
Ghanchakkar,5.8,5019.0
BoJack Horseman Christmas Special,,
Aziz Ansari: Buried Alive,7.2,3980.0
Marc Maron: Thinky Pain,7.3,1876.0
Naan Sigappu Manithan,6.5,1081.0
Born in Gaza,7.4,492.0
Romantik Komedi 2: Bekarlığa Veda,5.1,3357.0
Free to Play,7.9,13308.0
"The Other One: The Long, Strange Trip of Bob Weir",7.3,1649.0
Inkaar,6.2,2565.0
