Show_ID,Movie Title,Director,Country,Release_Year,Rating_class,Duration,Categories,Type,IMDB_Score,IMDB_Votes
s212,Ragini MMS 2,Bhushan Patel,India,2014,TV-MA,113,"Horror Movies, International Movies",Movie,3.9,2870.0
s218,The Dirty Picture,Milan Luthria,India,2011,TV-14,145,"Comedies, Dramas, International Movies",Movie,6.6,9522.0
s222,"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rofé,,2021,TV-14,93,Documentaries,Movie,6.9,5674.0
s228,Really Love,Angel Kristi Williams,United States,2020,TV-MA,95,"Dramas, Independent Movies, Romantic Movies",Movie,6.0,807.0
s229,The November Man,Roger Donaldson,"United States, United Kingdom",2014,R,108,Action & Adventure,Movie,6.3,67243.0
s230,The Old Ways,Christopher Alender,United States,2020,TV-MA,90,Horror Movies,Movie,5.4,5708.0
s231,The River Runner,Rush Sturges,,2021,TV-MA,86,"Documentaries, Sports Movies",Movie,6.9,1572.0
s232,The Water Man,David Oyelowo,United States,2021,PG,92,"Children & Family Movies, Dramas",Movie,5.4,3641.0
s234,Count Me In,Mark Lo,United Kingdom,2021,TV-MA,82,"Documentaries, Music & Musicals",Movie,6.8,1654.0
s236,Untold: Caitlyn Jenner,Crystal Moselle,,2021,TV-PG,70,"Documentaries, LGBTQ Movies, Sports Movies",Movie,6.4,2384.0
s237,Boomika,Rathindran R Prasad,,2021,TV-14,122,"Horror Movies, International Movies, Thrillers",Movie,,
s241,The Witcher: Nightmare of the Wolf,Han Kwang Il,,2021,TV-MA,84,"Action & Adventure, Anime Features",Movie,7.2,41508.0
s245,Gunshot,Karim El Shenawy,,2018,TV-14,96,"Dramas, International Movies, Thrillers",Movie,6.8,593.0
s247,Man in Love,Yin Chen-hao,,2021,TV-MA,115,"Dramas, International Movies, Romantic Movies",Movie,6.9,1623.0
s248,Sweet Girl,Brian Andrew Mendoza,United States,2021,R,110,"Action & Adventure, Dramas",Movie,5.5,30580.0
s250,The Loud House Movie,Dave Needham,,2021,TV-Y7,88,"Children & Family Movies, Comedies, Music & Musicals",Movie,6.2,1893.0
s251,A Faraway Land,Veronica Velasco,,2020,TV-PG,102,"Dramas, International Movies, Romantic Movies",Movie,4.9,133.0
s253,Black Island,Miguel Alexandre,,2021,TV-MA,105,"International Movies, Thrillers",Movie,5.1,2697.0
s256,Memories of a Murderer: The Nilsen Tapes,Michael Harte,,2021,TV-MA,86,"Documentaries, International Movies",Movie,6.3,3123.0
